Very Important: The number used to identify the compound in later measurements;1;;;;;
International Chemical Identifier;"InChI=1S/C5H14NO.ClH/c1-6(2,3)4-5-7;/h7H,4-5H2,1-3H3;1H/q+1;/p-1";;;;;
International Chemical Identifier Key;SGMZJAMFUVOLNK-UHFFFAOYSA-M;;;;;
Common Name, tag can be used infinitely to the right;choline chloride;(.beta.-hydroxyethyl)trimethylammonium chloride;(2-hydroxyethyl)trimethylammonium chloride;2-hydroxy-N,N,N-trimethylethanaminium chloride;cholinium chloride;trimethyl(2-hydroxyethyl)ammonium chloride
Smiles Code;;;;;;
Molecular Formula;C5H14ClNO;;;;;
ionic charge;;;;;;
Sample number;1;;;;;
"Source, e.g. ""commercial source""";Commercial source;;;;;
Information on purity, arbitrary amount of steps possible, Purification step;1;2;;;;
Mass percent of compund in sample;99;None used;;;;
Significant digits;2;;;;;
"Analysis Method, can be ""supplier""";supplier;;;;;
